Point,x,y
G_StartPoint,0.5209,0.8582
G_TrackPoint4,3.22,0.8582
G_LoadingStation2,2.9126,0.8582
G_UnloadingStation2,2.186,0.8582
G_TrackPoint3,1.041,2.0582
G_TrackPoint2,0.5209,2.0582
G_TrackPoint1,1.041,0.8582
G_UnloadingStation1,0.5209,1.3054
G_LoadingStation1,1.041,1.473
Y_StartPoint,0,0
Y_LoadingStation1,0.295,0
Y_TrackPoint1,1.15,0
Y_TrackPoint2,3.2,0
Y_UnloadingStation1,3.2,1.263
Y_Pick-upStation1,3.2,1.543
Y_TrackPoint3,3.2,1.673
Y_TrackPoint4,1.15,1.673
Y_ReturnStation1,1.15,0.32
P_ChargingStation1,0,0.4406
P_LoadingStation1,2.7635,1.4431
P_LoadingStation2,3.3,1.4431
P_LoadingStation3,0,0.1298
P_StartPoint,0,0
P_TrackPoint1,3.3,0.4406
P_TrackPoint2,2.7635,0.4406
P_TrackPoint3,0.5911,0.4406
P_TrackPoint4,0.5911,0
P_UnloadingStation1,2.7635,1.2511
P_UnloadingStation2,3.3,1.2511
P_UnloadingStation3,0,0.3065
R_TrackPoint2,2.236237,1.753807
R_TrackPoint3,2.236237,2.17732
R_TrackPoint7,1.753614,1.333951
R_UnloadingStation2,1.753614,1.084109
R_TrackPoint8,1.718272,0.845844
R_TrackPoint9,1.753614,0.877227
R_TrackPoint18,1.753614,0.858032
R_LoadingStation2,1.718272,0.684361
R_TrackPoint4,1.718272,0.471081
R_TrackPoint5,1.693897,0.4528
R_TrackPoint11,1.6421,0.4528
R_UnloadingStation3,1.6421,0.142021
R_TrackPoint6,1.6421,-0.02251
R_StartPoint,1.118043,2.17732
R_TrackPoint1,1.118043,1.753807
R_LoadingStation1,1.958974,1.753807
R_ChargingStation1,1.654288,1.753807
R_UnloadingStation1,1.349603,1.753807
R_TrackPoint12,2.208816,-0.02251
R_TrackPoint13,2.236237,0.915922
R_TrackPoint14,2.236237,0.471081
R_TrackPoint15,2.236237,0.4528
R_TrackPoint16,2.208816,0.367488
R_TrackPoint17,2.236237,1.364419
